k,coverage,strat
94,1538,Random
95,1563,Random
96,1564,Random
97,1568,Random
98,1571,Random
99,1574,Random
100,1608,Random
101,1622,Random
102,1632,Random
103,1635,Random
104,2243,Random
105,2247,Random
106,2251,Random
107,2318,Random
108,2320,Random
109,2322,Random
110,2324,Random
111,2324,Random
112,2335,Random
113,2337,Random
114,2342,Random
115,2344,Random
116,2374,Random
117,2440,Random
118,2441,Random
119,2451,Random
120,2452,Random
121,2455,Random
122,2456,Random
123,2478,Random
124,2480,Random
125,2570,Random
126,2591,Random
127,2679,Random
128,2681,Random
129,2783,Random
130,2986,Random
131,3006,Random
132,3008,Random
133,3011,Random
134,3275,Random
135,3276,Random
136,3280,Random
1,4,Random
2,17,Random
3,30,Random
4,134,Random
5,154,Random
6,221,Random
7,223,Random
8,225,Random
9,240,Random
10,243,Random
11,245,Random
12,246,Random
13,251,Random
14,276,Random
15,290,Random
16,292,Random
17,315,Random
18,317,Random
19,685,Random
20,687,Random
21,691,Random
22,707,Random
23,710,Random
24,724,Random
25,726,Random
26,728,Random
27,732,Random
28,734,Random
29,770,Random
30,771,Random
31,774,Random
32,777,Random
33,779,Random
34,781,Random
35,783,Random
36,792,Random
37,794,Random
38,798,Random
39,800,Random
40,1209,Random
41,1213,Random
42,1296,Random
43,1297,Random
44,1299,Random
45,1336,Random
46,1377,Random
47,1378,Random
48,1466,Random
49,1486,Random
50,1487,Random
51,1491,Random
52,1492,Random
53,1515,Random
54,1521,Random
55,1523,Random
56,1533,Random
57,1575,Random
58,1579,Random
59,1581,Random
60,1583,Random
61,1600,Random
62,1602,Random
63,1603,Random
64,1617,Random
65,1622,Random
66,1644,Random
67,1907,Random
68,1909,Random
69,1910,Random
70,1912,Random
71,1913,Random
72,1916,Random
73,1920,Random
74,1922,Random
75,1924,Random
76,1928,Random
77,1938,Random
78,1939,Random
79,1941,Random
80,1947,Random
81,1952,Random
82,2156,Random
83,2158,Random
84,2160,Random
85,2162,Random
86,2169,Random
87,2181,Random
88,2184,Random
89,2186,Random
90,2194,Random
91,2195,Random
92,2285,Random
93,2288,Random
94,2290,Random
95,2304,Random
96,2307,Random
97,2309,Random
98,2316,Random
99,2418,Random
100,2441,Random
101,2444,Random
102,2481,Random
103,3089,Random
104,3090,Random
105,3099,Random
106,3105,Random
107,3106,Random
108,3108,Random
109,3138,Random
110,3147,Random
111,3149,Random
112,3149,Random
113,3216,Random
114,3218,Random
115,3219,Random
116,3235,Random
117,3237,Random
118,3239,Random
119,3240,Random
120,3242,Random
121,3244,Random
122,3245,Random
123,3246,Random
124,3248,Random
125,3249,Random
126,3257,Random
127,3260,Random
128,3264,Random
129,3266,Random
130,3269,Random
131,3272,Random
132,3274,Random
133,3276,Random
134,3279,Random
135,3280,Random
136,3282,Random
1,3,Random
2,107,Random
3,112,Random
4,113,Random
5,116,Random
6,120,Random
7,121,Random
8,127,Random
9,130,Random
10,133,Random
11,148,Random
12,150,Random
13,154,Random
14,159,Random
15,165,Random
16,167,Random
17,169,Random
18,172,Random
19,207,Random
20,217,Random
21,259,Random
22,262,Random
23,271,Random
24,275,Random
25,287,Random
26,317,Random
27,320,Random
28,321,Random
29,322,Random
30,326,Random
31,328,Random
32,345,Random
33,360,Random
34,361,Random
35,363,Random
36,366,Random
37,381,Random
38,402,Random
39,406,Random
40,418,Random
41,420,Random
42,422,Random
43,425,Random
44,436,Random
45,440,Random
46,441,Random
47,443,Random
48,445,Random
49,448,Random
50,1056,Random
51,1060,Random
52,1062,Random
53,1064,Random
54,1066,Random
55,1074,Random
56,1076,Random
57,1179,Random
58,1189,Random
59,1228,Random
60,1251,Random
61,1255,Random
62,1262,Random
63,1276,Random
64,1277,Random
65,1283,Random
66,1286,Random
67,1287,Random
68,1290,Random
69,1294,Random
70,1296,Random
71,1297,Random
72,1303,Random
73,1325,Random
74,1327,Random
75,1736,Random
76,1738,Random
77,1742,Random
78,1745,Random
79,1767,Random
80,1971,Random
81,1973,Random
82,1974,Random
83,1975,Random
84,1976,Random
85,1978,Random
86,1981,Random
87,2063,Random
88,2066,Random
89,2067,Random
90,2134,Random
91,2136,Random
92,2138,Random
93,2143,Random
94,2145,Random
95,2163,Random
96,2169,Random
97,2236,Random
98,2238,Random
99,2326,Random
100,2329,Random
101,2331,Random
102,2332,Random
103,2335,Random
104,2425,Random
105,2426,Random
106,2435,Random
107,2437,Random
108,2437,Random
109,2438,Random
110,2441,Random
111,2463,Random
112,2465,Random
113,2471,Random
114,2734,Random
115,2752,Random
116,2761,Random
117,2763,Random
118,2775,Random
119,2812,Random
120,2814,Random
121,2814,Random
122,3182,Random
123,3192,Random
124,3200,Random
125,3201,Random
126,3203,Random
127,3206,Random
128,3208,Random
129,3225,Random
130,3226,Random
131,3229,Random
132,3254,Random
133,3295,Random
134,3297,Random
135,3299,Random
1,8,Random
2,14,Random
3,52,Random
4,71,Random
5,73,Random
6,114,Random
7,122,Random
8,124,Random
9,126,Random
10,128,Random
11,131,Random
12,134,Random
13,136,Random
14,138,Random
15,228,Random
16,230,Random
17,232,Random
18,235,Random
19,237,Random
20,240,Random
21,243,Random
22,257,Random
23,259,Random
24,282,Random
25,312,Random
26,920,Random
27,921,Random
28,932,Random
29,938,Random
30,941,Random
31,942,Random
32,946,Random
33,950,Random
34,952,Random
35,1156,Random
36,1158,Random
37,1159,Random
38,1160,Random
39,1161,Random
40,1167,Random
41,1181,Random
42,1182,Random
43,1202,Random
44,1204,Random
45,1206,Random
46,1216,Random
47,1219,Random
48,1221,Random
49,1224,Random
50,1226,Random
51,1314,Random
52,1316,Random
53,1319,Random
54,1320,Random
55,1322,Random
56,1326,Random
57,1327,Random
