k,coverage,strat
63,1585,Random
64,1589,Random
65,1591,Random
66,1613,Random
67,1617,Random
68,1619,Random
69,1622,Random
70,1624,Random
71,1627,Random
72,1631,Random
73,1641,Random
74,1642,Random
75,1645,Random
76,1647,Random
77,1649,Random
78,1671,Random
79,1673,Random
80,1682,Random
81,2050,Random
82,2066,Random
83,2067,Random
84,2109,Random
85,2143,Random
86,2146,Random
87,2146,Random
88,2149,Random
89,2150,Random
90,2152,Random
91,2153,Random
92,2166,Random
93,2168,Random
94,2169,Random
95,2170,Random
96,2172,Random
97,2780,Random
98,2789,Random
99,2790,Random
100,2792,Random
101,2794,Random
102,2795,Random
103,2807,Random
104,2811,Random
105,2813,Random
106,2815,Random
107,2816,Random
108,2824,Random
109,2827,Random
110,2837,Random
111,2838,Random
112,2840,Random
113,2865,Random
114,2868,Random
115,2869,Random
116,2871,Random
117,2876,Random
118,2878,Random
119,2889,Random
120,2891,Random
121,2893,Random
122,2930,Random
123,2932,Random
124,2934,Random
125,3017,Random
126,3221,Random
127,3239,Random
128,3240,Random
129,3241,Random
130,3250,Random
131,3251,Random
132,3256,Random
133,3262,Random
134,3268,Random
135,3270,Random
136,3274,Random
1,4,Random
2,9,Random
3,11,Random
4,13,Random
5,27,Random
6,29,Random
7,31,Random
8,71,Random
9,72,Random
10,74,Random
11,105,Random
12,117,Random
13,120,Random
14,122,Random
15,160,Random
16,183,Random
17,183,Random
18,185,Random
19,186,Random
20,188,Random
21,191,Random
22,193,Random
23,194,Random
24,200,Random
25,205,Random
26,214,Random
27,231,Random
28,319,Random
29,321,Random
30,325,Random
31,329,Random
32,432,Random
33,434,Random
34,436,Random
35,477,Random
36,478,Random
37,481,Random
38,484,Random
39,487,Random
40,554,Random
41,555,Random
42,637,Random
43,639,Random
44,645,Random
45,646,Random
46,649,Random
47,652,Random
48,654,Random
49,657,Random
50,659,Random
51,663,Random
52,664,Random
53,1072,Random
54,1074,Random
55,1084,Random
56,1087,Random
57,1112,Random
58,1122,Random
59,1124,Random
60,1128,Random
61,1129,Random
62,1151,Random
63,1156,Random
64,1158,Random
65,1167,Random
66,1169,Random
67,1190,Random
68,1196,Random
69,1210,Random
70,1212,Random
71,1214,Random
72,1231,Random
73,1233,Random
74,1249,Random
75,1260,Random
76,1261,Random
77,1296,Random
78,1298,Random
79,1320,Random
80,1322,Random
81,1690,Random
82,1692,Random
83,1696,Random
84,1704,Random
85,1706,Random
86,1708,Random
87,1712,Random
88,1719,Random
89,1721,Random
90,1722,Random
91,1726,Random
92,1989,Random
93,1991,Random
94,1997,Random
95,1997,Random
96,2002,Random
97,2004,Random
98,2006,Random
99,2209,Random
100,2221,Random
101,2223,Random
102,2226,Random
103,2228,Random
104,2242,Random
105,2243,Random
106,2245,Random
107,2249,Random
108,2250,Random
109,2251,Random
110,2252,Random
111,2254,Random
112,2257,Random
113,2324,Random
114,2366,Random
115,2369,Random
116,2378,Random
117,2380,Random
118,2381,Random
119,2383,Random
120,2397,Random
121,2399,Random
122,2400,Random
123,2418,Random
124,2419,Random
125,2509,Random
126,2512,Random
127,2522,Random
128,2544,Random
129,2546,Random
130,2549,Random
131,2551,Random
132,2558,Random
133,2560,Random
134,2563,Random
135,2666,Random
136,2667,Random
1,6,Random
2,23,Random
3,26,Random
4,28,Random
5,55,Random
6,57,Random
7,91,Random
8,194,Random
9,197,Random
10,211,Random
11,213,Random
12,229,Random
13,244,Random
14,245,Random
15,247,Random
16,249,Random
17,279,Random
18,281,Random
19,285,Random
20,286,Random
21,328,Random
22,334,Random
23,343,Random
24,345,Random
25,349,Random
26,371,Random
27,373,Random
